,school,ncaa_team_url,school_website_url
0,St. Thomas (MN),https://stats.ncaa.org/teams/573909,http://www.Tommiesports.com
1,Tarleton St.,https://stats.ncaa.org/teams/573910,http://tarletonsports.com
2,Utah Tech,https://stats.ncaa.org/teams/573911,http://www.utahtechtrailblazers.com
3,Akron,https://stats.ncaa.org/teams/573912,http://gozips.com
4,Texas A&M,https://stats.ncaa.org/teams/573913,http://www.12thman.com
5,TCU,https://stats.ncaa.org/teams/573914,http://www.gofrogs.com
6,Texas Southern,https://stats.ncaa.org/teams/573915,http://www.tsusports.com
7,Texas Tech,https://stats.ncaa.org/teams/573916,http://www.texastech.com
8,UT Arlington,https://stats.ncaa.org/teams/573917,http://www.utamavs.com
9,Texas,https://stats.ncaa.org/teams/573918,http://www.TexasSports.com
10,UTSA,https://stats.ncaa.org/teams/573919,http://www.goutsa.com
11,Toledo,https://stats.ncaa.org/teams/573920,http://www.utrockets.com
12,Towson,https://stats.ncaa.org/teams/573921,http://www.towsontigers.com
13,Troy,https://stats.ncaa.org/teams/573922,http://troytrojans.com
14,Tulane,https://stats.ncaa.org/teams/573923,http://www.tulanegreenwave.com
15,Air Force,https://stats.ncaa.org/teams/573924,http://www.goairforcefalcons.com/
16,Army West Point,https://stats.ncaa.org/teams/573925,https://goarmywestpoint.com/
17,Navy,https://stats.ncaa.org/teams/573946,http://www.navysports.com
18,Utah,https://stats.ncaa.org/teams/573947,http://utahutes.com/
19,Valparaiso,https://stats.ncaa.org/teams/573948,http://www.valpoathletics.com
20,Vanderbilt,https://stats.ncaa.org/teams/573949,http://vucommodores.com
21,Villanova,https://stats.ncaa.org/teams/573950,http://www.villanova.com
22,VCU,https://stats.ncaa.org/teams/573951,http://www.vcuathletics.com
23,VMI,https://stats.ncaa.org/teams/573952,http://www.vmikeydets.com
24,Virginia Tech,https://stats.ncaa.org/teams/573953,http://www.hokiesports.com
25,Virginia,https://stats.ncaa.org/teams/573954,http://www.virginiasports.com
26,Wagner,https://stats.ncaa.org/teams/573955,http://www.wagnerathletics.com
27,Wake Forest,https://stats.ncaa.org/teams/573956,http://www.godeacs.com
28,Washington St.,https://stats.ncaa.org/teams/573957,http://www.wsucougars.com
29,Washington,https://stats.ncaa.org/teams/573958,http://www.gohuskies.com
30,West Virginia,https://stats.ncaa.org/teams/573959,http://www.wvusports.com
31,Western Caro.,https://stats.ncaa.org/teams/573960,http://www.catamountsports.com
32,Western Ill.,https://stats.ncaa.org/teams/573961,http://www.goleathernecks.com
33,Western Ky.,https://stats.ncaa.org/teams/573962,http://www.wkusports.com
34,Western Mich.,https://stats.ncaa.org/teams/573963,http://www.wmubroncos.com
35,Wichita St.,https://stats.ncaa.org/teams/573964,http://www.goshockers.com
36,William & Mary,https://stats.ncaa.org/teams/573965,http://www.tribeathletics.com
37,Winthrop,https://stats.ncaa.org/teams/573966,http://www.winthropeagles.com
38,Milwaukee,https://stats.ncaa.org/teams/573967,http://www.mkepanthers.com
39,Wright St.,https://stats.ncaa.org/teams/573968,http://www.wsuraiders.com
40,Xavier,https://stats.ncaa.org/teams/573969,http://www.goxavier.com
41,Yale,https://stats.ncaa.org/teams/573970,http://www.yalebulldogs.com
42,Youngstown St.,https://stats.ncaa.org/teams/573971,http://www.ysusports.com
43,Central Ark.,https://stats.ncaa.org/teams/573972,http://www.ucasports.com
44,Merrimack,https://stats.ncaa.org/teams/573973,http://www.merrimackathletics.com
45,Col. of Charleston,https://stats.ncaa.org/teams/573974,http://www.cofcsports.com
46,DBU,https://stats.ncaa.org/teams/573975,http://www.dbupatriots.com
47,Elon,https://stats.ncaa.org/teams/573976,http://www.elonphoenix.com
48,Gardner-Webb,https://stats.ncaa.org/teams/573977,http://gwusports.com/
49,Grand Canyon,https://stats.ncaa.org/teams/573978,http://www.gculopes.com
50,Kennesaw St.,https://stats.ncaa.org/teams/573979,http://www.ksuowls.com
51,Presbyterian,https://stats.ncaa.org/teams/573980,http://gobluehose.com
52,Seattle U,https://stats.ncaa.org/teams/573981,http://goseattleu.com
53,Ark.-Pine Bluff,https://stats.ncaa.org/teams/573982,http://uapblionsroar.com/
54,North Florida,https://stats.ncaa.org/teams/573983,http://www.unfospreys.com
55,UIW,https://stats.ncaa.org/teams/573984,http://uiwcardinals.com
56,Wofford,https://stats.ncaa.org/teams/573985,https://woffordterriers.com/
57,USC Upstate,https://stats.ncaa.org/teams/573986,http://www.upstatespartans.com
58,Belmont,https://stats.ncaa.org/teams/573987,http://www.belmontbruins.com
59,High Point,https://stats.ncaa.org/teams/573988,http://www.highpointpanthers.com
60,A&M-Corpus Christi,https://stats.ncaa.org/teams/573989,http://www.goislanders.com
61,Lipscomb,https://stats.ncaa.org/teams/573990,http://www.lipscombsports.com
62,FGCU,https://stats.ncaa.org/teams/573991,http://fgcuathletics.com/
63,Utah Valley,https://stats.ncaa.org/teams/573992,http://www.gouvu.com
64,North Ala.,https://stats.ncaa.org/teams/573993,http://www.roarlions.com
65,California Baptist,https://stats.ncaa.org/teams/573994,http://www.cbulancers.com
66,Abilene Christian,https://stats.ncaa.org/teams/573995,http://www.acusports.com
67,Alabama A&M,https://stats.ncaa.org/teams/573996,http://www.aamusports.com
68,Alabama St.,https://stats.ncaa.org/teams/573997,http://www.bamastatesports.com
69,Alabama,https://stats.ncaa.org/teams/573998,http://www.rolltide.com
70,UAB,https://stats.ncaa.org/teams/573999,http://www.uabsports.com
71,UAlbany,https://stats.ncaa.org/teams/574000,http://www.ualbanysports.com
72,Alcorn,https://stats.ncaa.org/teams/574001,http://www.alcornsports.com
73,App State,https://stats.ncaa.org/teams/574002,http://appstatesports.com
74,Arizona St.,https://stats.ncaa.org/teams/574003,http://thesundevils.com
75,Arizona,https://stats.ncaa.org/teams/574004,http://www.arizonawildcats.com
76,Arkansas St.,https://stats.ncaa.org/teams/574005,http://www.astateredwolves.com
77,Arkansas,https://stats.ncaa.org/teams/574006,http://arkansasrazorbacks.com/
78,Little Rock,https://stats.ncaa.org/teams/574007,http://lrtrojans.com
79,Auburn,https://stats.ncaa.org/teams/574008,http://www.auburntigers.com
80,Austin Peay,https://stats.ncaa.org/teams/574009,http://www.letsgopeay.com
81,Ball St.,https://stats.ncaa.org/teams/574010,http://www.ballstatesports.com
82,Charleston So.,https://stats.ncaa.org/teams/574011,http://csusports.com/
83,Baylor,https://stats.ncaa.org/teams/574012,http://www.baylorbears.com
84,Bethune-Cookman,https://stats.ncaa.org/teams/574013,http://www.bcuathetics.com
85,Binghamton,https://stats.ncaa.org/teams/574014,http://www.bubearcats.com
86,Boston College,https://stats.ncaa.org/teams/574015,http://www.bceagles.com
87,Bowling Green,https://stats.ncaa.org/teams/574016,http://www.bgsufalcons.com
88,Bradley,https://stats.ncaa.org/teams/574017,http://www.bradleybraves.com
89,BYU,https://stats.ncaa.org/teams/574018,http://byucougars.com
90,Brown,https://stats.ncaa.org/teams/574019,http://www.brownbears.com
91,Bryant,https://stats.ncaa.org/teams/574020,http://www.bryantbulldogs.com
92,Bucknell,https://stats.ncaa.org/teams/574021,http://bucknellbison.com
93,Butler,https://stats.ncaa.org/teams/574022,http://www.butlersports.com
94,Cal Poly,https://stats.ncaa.org/teams/574023,http://gopoly.com
95,CSU Bakersfield,https://stats.ncaa.org/teams/574024,http://www.gorunners.com
96,Fresno St.,https://stats.ncaa.org/teams/574025,http://www.gobulldogs.com
97,Cal St. Fullerton,https://stats.ncaa.org/teams/574026,http://www.fullertontitans.com
98,Long Beach St.,https://stats.ncaa.org/teams/574027,http://longbeachstate.com
99,CSUN,https://stats.ncaa.org/teams/574028,http://www.GoMatadors.com
100,Sacramento St.,https://stats.ncaa.org/teams/574029,http://www.hornetsports.com
101,UC Santa Barbara,https://stats.ncaa.org/teams/574030,http://ucsbgauchos.com
102,California,https://stats.ncaa.org/teams/574031,http://www.calbears.com
103,UC Davis,https://stats.ncaa.org/teams/574032,http://www.ucdavisaggies.com
104,UC Irvine,https://stats.ncaa.org/teams/574033,https://ucirvinesports.com/
105,UCLA,https://stats.ncaa.org/teams/574034,http://www.uclabruins.com
106,UC Riverside,https://stats.ncaa.org/teams/574035,http://www.gohighlanders.com/
107,Campbell,https://stats.ncaa.org/teams/574036,http://www.gocamels.com
108,Canisius,https://stats.ncaa.org/teams/574037,http://www.gogriffs.com
109,Central Conn. St.,https://stats.ncaa.org/teams/574038,http://www.ccsubluedevils.com
110,UCF,https://stats.ncaa.org/teams/574039,http://www.ucfknights.com/
111,Central Mich.,https://stats.ncaa.org/teams/574040,http://www.cmuchippewas.com
112,Cincinnati,https://stats.ncaa.org/teams/574041,http://gobearcats.com
113,The Citadel,https://stats.ncaa.org/teams/574042,http://www.citadelsports.com
114,Clemson,https://stats.ncaa.org/teams/574043,http://clemsontigers.com
115,Coastal Carolina,https://stats.ncaa.org/teams/574044,http://www.goccusports.com
116,Columbia,https://stats.ncaa.org/teams/574045,http://www.gocolumbialions.com/
117,UConn,https://stats.ncaa.org/teams/574046,http://www.uconnhuskies.com
118,Coppin St.,https://stats.ncaa.org/teams/574047,http://www.coppinstatesports.com
119,Cornell,https://stats.ncaa.org/teams/574048,http://www.cornellbigred.com
120,Creighton,https://stats.ncaa.org/teams/574049,http://gocreighton.com/
121,Dartmouth,https://stats.ncaa.org/teams/574050,http://www.dartmouthsports.com
122,Davidson,https://stats.ncaa.org/teams/574051,http://www.davidsonwildcats.com
123,Dayton,https://stats.ncaa.org/teams/574052,http://www.daytonflyers.com
124,Delaware St.,https://stats.ncaa.org/teams/574053,http://www.dsuhornets.com/
125,Delaware,https://stats.ncaa.org/teams/574054,http://www.bluehens.com
126,Duke,https://stats.ncaa.org/teams/574055,http://www.goduke.com
127,East Carolina,https://stats.ncaa.org/teams/574056,http://www.ecupirates.com
128,ETSU,https://stats.ncaa.org/teams/574057,http://www.etsubucs.com
129,Eastern Ill.,https://stats.ncaa.org/teams/574058,http://www.eiupanthers.com
130,Eastern Ky.,https://stats.ncaa.org/teams/574059,http://www.ekusports.com
131,Eastern Mich.,https://stats.ncaa.org/teams/574060,http://www.emueagles.com
132,Evansville,https://stats.ncaa.org/teams/574061,http://www.gopurpleaces.com
133,Fairfield,https://stats.ncaa.org/teams/574062,http://fairfieldstags.com
134,FDU,https://stats.ncaa.org/teams/574063,http://www.fduknights.com
135,Florida A&M,https://stats.ncaa.org/teams/574064,http://www.famuathletics.com/
136,Fla. Atlantic,https://stats.ncaa.org/teams/574065,http://www.fausports.com
137,FIU,https://stats.ncaa.org/teams/574066,http://www.fiusports.com
