school_name,official_school_website,twitter,facebook
Ashland,https://goashlandeagles.com,https://twitter.com/@goashlandeagles,https://facebook.com/pages/Ashland-University-Athletics/270892241061?ref=ts
Assumption,https://assumptiongreyhounds.com,https://twitter.com/@acgreyhounds,https://facebook.com/pages/Assumption-College-Athletics/247970239396
Auburn-Montgomery,https://aumathletics.com,https://twitter.com/@AUMathletics,https://facebook.com/AUMathletics
Auburn,https://auburntigers.com,https://twitter.com/@AuburnTigers,https://facebook.com/AuburnTigers
Augsburg,https://athletics.augsburg.edu,https://twitter.com/@AugsburgAuggies,https://facebook.com/AugsburgCollegeAuggies
Augustana (IL),https://athletics.augustana.edu,https://twitter.com/@augieathletics,https://facebook.com/augustanavikings
Augustana (SD),https://goaugie.com,https://twitter.com/@GoAugie,https://facebook.com/GoAugie
Aurora,https://athletics.aurora.edu,https://twitter.com/@AU_Spartans,https://facebook.com/AUspartans
Austin,https://acroos.com,https://twitter.com/@acsports,https://facebook.com/acsports
Austin Peay,https://letsgopeay.com,https://twitter.com/@letsgopeay,https://facebook.com/letsgopeay
Averett,https://averettcougars.com,https://twitter.com/@AverettUCougars,https://facebook.com/pages/Averett-University-Cougars/59757028764
Azusa Pacific,https://apu.edu/athletics/,https://twitter.com/@APUCougars,https://facebook.com/APUCougars
Babson,https://babsonathletics.com,https://twitter.com/@BabsonAthletics,https://facebook.com/BabsonAthletics
CSU Bakersfield,https://gorunners.com,https://twitter.com/@CSUBAthletics,https://facebook.com/csubroadrunners
Baldwin Wallace,https://bwyellowjackets.com,https://twitter.com/@bwathletics,https://facebook.com/bwyellowjackets
Ball St.,https://ballstatesports.com,https://twitter.com/@BallStateSports,https://facebook.com/ballstatesports
Clarks Summit University ,https://bbcdefenders.com,https://twitter.com/@DefenderSports,https://facebook.com/SummitUniversityPA
Bard,https://bardathletics.com,https://twitter.com/@BardAthletics,https://facebook.com/pages/Bard-College-Athletics/199022670116497
Barry,https://gobarrybucs.com,https://twitter.com/@gobarrybucs,https://facebook.com/gobarrybucs
Barton,https://bartonbulldogs.com,https://twitter.com/@bartonathletics,https://facebook.com/bartonbulldogs
Baruch,https://baruchathletics.com,https://twitter.com/@baruchathletics,https://facebook.com/BaruchAthletics
Bates,https://athletics.bates.edu,https://twitter.com/@BatesSports,https://facebook.com/BatesCollegeAthletics
Bay Path,https://athletics.baypath.edu,https://twitter.com/@Bay_Path,https://facebook.com/pages/Bay-Path-College-Athletics/175606745785214
Baylor,https://baylorbears.com,https://twitter.com/@BaylorAthletics,https://facebook.com/BaylorAthletics
Belhaven,https://blazers.belhaven.edu,https://twitter.com/@belhavenblazers,https://facebook.com/BelhavenBlazers
Bellarmine,https://athletics.bellarmine.edu,https://twitter.com/@buknights,https://facebook.com/BUKnights
Belmont,https://belmontbruins.com,https://twitter.com/@GoBelmontBruins,https://facebook.com/BelmontBruins
Belmont Abbey,https://abbeyathletics.com,https://twitter.com/@abbeyathletics,https://facebook.com/abbeyathletics
Beloit,https://beloit.edu/bucs/,https://twitter.com/@BeloitBucs,https://facebook.com/BeloitCollege
Bemidji St.,https://bsubeavers.com,https://twitter.com/@bsubeavers,https://facebook.com/bsubeavers
Benedict,https://benedicttigers.com,https://twitter.com/@benedict_tigers,https://facebook.com/pages/Benedict-College-Tigers/241298405908410
Benedictine (IL),https://ben.edu/athletics,https://twitter.com/@benueagles,https://facebook.com/BenUAthletics
Bentley,https://bentleyfalcons.com,https://twitter.com/@BentleyFalcons,https://facebook.com/BentleyUniversityAthletics
Berea College,https://bereaathletics.com,https://twitter.com/@bereacollege,https://facebook.com/bereacollege
Berry,https://berryvikings.com,https://twitter.com/@berryvikings,https://facebook.com/berryvikings
Bethany Lutheran,https://blcvikings.com,https://twitter.com/@blcvikings,https://facebook.com/blcvikings
Bethany (WV),https://bethanywv.edu/athletics,https://twitter.com/@Bethany_Bison,https://facebook.com/BethanyAthletics
Bethel (MN),https://athletics.bethel.edu/,https://twitter.com/@bethelroyals,https://facebook.com/BethelRoyals
Bethune-Cookman,https://bcuathletics.com,https://twitter.com/@BCUAthletics,https://facebook.com/BCUathletics
Binghamton,https://bubearcats.com,https://twitter.com/@BU_Bearcats,https://facebook.com/BinghamtonAthletics
Biola,https://athletics.biola.edu,https://twitter.com/@BiolaAthletics,https://facebook.com/BiolaAthletics
Birmingham-So.,https://bscsports.net,https://twitter.com/@bscsports,https://facebook.com/bscsports
Black Hills St.,https://bhsuathletics.com/,https://twitter.com/@BHSUAthletics,https://facebook.com/BHSUAthletics
Blackburn,https://blackburnbeavers.com,https://twitter.com/@BeaverBlackburn,https://facebook.com/BlackburnCollegeAthletics
Bloomfield,https://bcbearsathletics.com,https://twitter.com/@Go_BCBears,https://facebook.com/bcbearsathletics
Bloomsburg,https://buhuskies.com,https://twitter.com/@GoBUHuskies,https://facebook.com/BUhuskies
Bluefield St.,https://go-bstate.com,https://twitter.com/@bstatesports,https://facebook.com/bluefieldstateathletics
Bluffton,https://blufftonbeavers.com,https://twitter.com/@BlufftonU,https://facebook.com/BlufftonUniversity
Boise St.,https://broncosports.com,https://twitter.com/@broncosports,https://facebook.com/boisestatebroncos
Boston College,https://bceagles.com,https://twitter.com/@bcsportsnews,https://facebook.com/BostonCollegeAthletics
Boston U.,https://goterriers.com,https://twitter.com/@BUAthletics,https://facebook.com/BUAthletics
Bowdoin,https://athletics.bowdoin.edu,https://twitter.com/@goubears,https://facebook.com/BowdoinAthletics
Bowie St.,https://bsubulldogs.com,https://twitter.com/@BSU_Sports_Info,https://facebook.com/bowiestate
Bowling Green,https://bgsufalcons.com,https://twitter.com/@BGathletics,https://facebook.com/BGSUathletic
